user_id,restaurant_id,dish_id,rating
1,55,508,4
1,71,819,4
1,96,453,9
1,75,369,4
1,70,243,4
1,71,930,2
1,74,263,4
1,73,811,7
1,70,319,8
1,80,50,3
1,22,447,6
1,36,143,9
1,7,969,1
1,79,346,3
1,59,972,2
1,16,134,2
1,50,105,7
1,76,7,4
1,38,601,8
1,11,497,2
1,33,703,6
1,62,473,8
1,77,599,5
1,54,503,2
1,36,434,8
1,39,120,3
1,69,109,7
1,22,648,5
1,46,590,7
1,70,375,10
1,35,911,7
1,98,719,7
1,18,745,1
1,55,495,10
1,9,405,1
1,72,275,9
1,53,79,8
1,42,722,1
1,8,645,6
1,15,615,2
1,57,873,7
1,66,692,5
1,33,91,5
1,52,102,9
1,66,95,5
1,69,578,10
1,84,538,10
1,87,42,3
1,61,454,8
1,64,996,6
1,74,714,9
1,71,35,10
1,75,640,3
1,48,36,10
1,72,149,3
1,66,456,9
1,80,886,8
1,43,678,1
1,64,487,9
1,52,686,6
1,35,308,4
1,84,239,3
1,79,396,9
1,11,735,3
1,60,823,1
1,53,813,7
1,37,465,2
1,20,817,10
1,69,529,9
1,13,18,6
1,6,710,1
1,33,371,2
1,58,242,10
1,91,965,6
1,42,458,7
1,73,66,4
1,24,192,6
1,26,839,8
1,37,332,6
1,7,639,7
1,17,256,2
1,47,743,10
1,79,757,4
1,71,758,10
1,61,952,3
1,77,993,6
1,10,464,7
1,88,844,1
1,66,574,6
1,5,528,9
1,12,655,1
1,61,190,1
1,52,518,4
1,87,957,4
1,15,415,6
1,55,672,8
1,58,560,7
1,36,594,2
1,78,259,6
1,54,155,10
1,46,336,6
1,80,14,1
1,4,912,6
1,25,157,7
1,71,429,5
1,73,825,2
1,29,268,7
1,79,539,10
1,60,237,6
1,12,945,2
1,32,480,4
1,9,786,3
1,22,951,8
1,45,60,8
1,47,869,9
1,99,176,7
1,2,712,6
1,61,450,3
1,14,121,7
1,53,795,2
1,76,181,7
1,4,312,2
1,36,4,6
1,63,195,6
1,89,438,7
1,4,684,6
1,15,800,4
1,33,747,3
1,20,626,1
1,19,693,8
1,16,552,7
1,17,249,5
1,29,660,5
1,6,3,9
1,71,998,10
1,16,861,1
1,95,777,10
1,43,858,8
1,40,359,10
1,71,770,10
1,75,74,9
1,94,118,10
1,40,939,5
1,50,536,2
1,22,112,6
1,54,510,3
1,12,513,8
1,8,917,1
1,71,556,9
1,72,553,2
1,95,355,5
1,6,971,4
1,8,9,10
1,69,582,9
1,80,57,8
1,85,577,8
1,79,706,9
1,38,652,4
1,79,85,8
1,2,229,5
1,30,160,1
1,72,206,10
1,83,126,4
1,97,689,7
1,46,888,9
1,65,474,3
1,40,245,3
1,79,598,2
1,47,798,4
1,9,196,6
1,84,203,3
1,40,82,5
1,2,485,1
1,36,444,10
1,61,579,2
1,23,202,3
1,52,187,4
1,62,517,2
1,80,822,8
1,81,968,5
1,33,217,3
1,61,51,9
1,4,784,10
1,76,673,9
1,73,532,7
1,42,315,7
1,10,201,3
1,21,224,8
1,74,588,3
1,26,984,5
1,82,700,4
1,58,827,2
1,80,234,10
1,79,585,4
1,90,975,9
1,5,431,7
1,72,875,8
1,71,551,9
1,87,609,3
1,33,208,1
1,91,383,4
1,44,995,3
1,64,983,6
1,39,48,9
1,24,522,1
1,56,637,8
1,49,20,1
1,22,367,8
1,31,341,6
1,2,953,1
1,73,676,10
1,2,307,4
1,69,836,1
1,86,430,3
1,22,824,2
1,70,305,7
1,24,356,9
1,6,178,7
1,31,946,3
1,79,61,5
1,79,310,7
1,93,893,2
1,10,302,9
1,43,921,1
1,29,595,5
1,87,762,1
1,22,108,5
1,16,748,3
1,45,989,2
1,89,807,1
1,50,100,3
1,91,251,2
1,92,834,1
1,86,475,5
1,100,704,8
1,47,942,7
1,5,384,4
1,10,681,7
1,76,182,6
1,26,13,4
1,90,614,7
1,62,86,8
1,71,321,9
1,60,650,5
1,100,711,6
1,64,386,6
1,43,891,1
1,37,440,2
1,24,136,6
1,37,568,3
1,79,299,5
1,39,161,5
1,54,269,9
1,40,659,3
1,65,997,7
1,10,642,9
1,83,907,5
1,34,806,1
1,38,894,8
1,79,390,10
1,88,122,1
1,52,838,10
1,22,188,2
1,25,17,1
1,68,774,10
1,78,494,9
1,27,342,7
1,23,427,4
1,20,468,5
1,35,107,9
1,13,409,8
1,55,24,3
1,22,832,10
1,13,70,6
1,79,901,3
1,11,677,3
1,22,802,4
1,39,600,3
1,18,644,6
1,16,340,4
1,1,702,1
1,81,874,9
1,74,75,5
1,58,219,8
1,79,526,10
1,6,266,9
1,80,892,10
1,14,111,5
1,89,436,1
1,26,981,7
1,79,633,4
1,92,186,8
1,40,287,10
1,55,583,10
1,99,900,10
1,90,460,1
1,71,416,5
1,71,62,9
1,58,348,5
1,47,350,1
1,26,732,10
1,57,717,5
1,16,641,4
1,3,805,2
1,69,738,4
1,15,330,2
1,10,928,6
1,89,135,5
1,88,788,3
1,55,765,5
1,15,785,4
1,49,58,1
1,67,826,4
1,98,929,4
1,40,860,7
1,87,787,6
1,59,292,10
1,53,47,5
1,76,278,5
1,36,842,8
1,92,927,1
1,26,225,9
1,32,531,1
1,97,281,9
1,81,1,9
1,75,818,4
1,71,496,10
1,79,67,1
1,40,404,3
1,81,564,6
1,74,482,8
1,71,572,3
1,33,883,6
1,7,295,7
1,33,620,4
1,56,744,1
1,71,246,2
1,42,258,2
1,81,162,3
1,79,727,2
1,4,606,7
1,59,954,3
1,28,437,6
1,74,856,5
1,100,769,7
1,74,248,1
1,96,542,3
1,74,240,5
1,44,221,1
1,3,958,3
1,22,93,9
1,36,115,2
1,12,799,3
1,75,980,10
1,59,77,7
1,79,982,2
1,11,387,5
1,91,133,1
1,54,864,7
1,77,991,4
1,61,59,5
1,78,290,1
1,74,247,3
1,95,365,4
1,18,872,7
1,33,41,10
1,83,90,4
1,50,193,8
1,45,423,5
1,74,69,5
1,61,662,9
1,11,373,8
1,59,140,3
1,71,389,2
1,47,833,8
1,63,119,7
1,14,580,9
1,100,923,7
1,65,792,6
1,93,351,3
1,35,812,2
1,71,435,7
1,86,670,9
1,98,932,10
1,58,949,8
1,75,15,10
1,33,376,6
1,22,83,7
1,85,492,5
1,54,698,5
1,45,880,4
1,77,937,4
1,9,89,5
1,58,364,7
1,7,274,2
1,14,173,6
1,99,555,5
1,92,104,6
1,34,755,5
1,79,674,1
1,50,372,5
1,74,46,2
1,88,561,8
1,27,749,9
1,22,420,9
1,84,605,4
1,54,726,4
1,75,12,6
1,79,215,9
1,10,345,2
1,80,701,5
1,95,721,9
1,36,148,7
1,71,300,6
1,11,284,1
1,5,746,3
1,50,413,4
1,76,630,5
1,100,796,3
1,100,742,1
1,87,887,1
1,81,736,9
1,22,174,4
1,71,433,2
1,90,986,1
1,16,227,3
1,60,306,2
1,13,32,9
1,57,720,10
1,6,484,2
1,5,767,1
1,91,286,8
1,30,919,2
1,97,483,8
1,10,914,10
1,85,978,7
1,74,117,7
1,86,619,10
1,72,653,9
1,2,705,10
1,83,96,8
1,13,262,6
1,59,636,2
1,31,593,8
1,47,575,6
1,46,955,2
1,84,103,3
1,57,63,8
1,78,205,1
1,47,664,8
1,6,687,4
1,71,185,7
1,58,679,1
1,59,734,9
1,93,92,3
1,75,943,10
1,93,709,5
1,86,737,2
1,31,837,8
1,79,731,1
1,36,412,9
1,21,347,3
1,70,481,1
1,88,815,6
1,89,30,9
1,72,55,3
1,13,488,5
1,75,40,4
1,23,158,3
1,79,895,10
1,44,147,10
1,13,222,9
1,79,685,5
1,97,773,8
1,93,603,8
1,50,801,2
1,81,395,2
1,67,53,3
1,83,623,1
1,11,675,7
1,23,360,7
1,6,505,8
1,10,403,4
1,2,771,9
1,13,422,3
1,33,449,2
1,88,166,4
1,20,285,5
1,91,81,9
1,74,228,1
1,91,448,2
1,65,354,10
1,71,311,6
1,37,728,3
1,25,260,2
1,99,324,6
1,93,10,5
1,59,680,4
1,53,530,4
1,88,31,2
2,6,38,6
2,79,727,5
2,41,847,5
2,7,296,8
2,81,925,7
2,40,659,8
2,85,683,6
2,81,287,2
2,42,881,2
2,56,273,6
2,27,138,4
2,49,955,10
2,81,516,2
2,34,789,5
2,95,861,1
2,97,641,10
2,46,738,4
2,95,684,1
2,50,413,5
2,25,72,5
2,98,214,8
2,63,68,1
2,22,232,8
2,26,857,8
2,10,198,9
2,21,640,6
2,61,377,8
2,47,193,8
2,11,100,4
2,58,679,6
2,60,651,9
2,75,224,8
2,72,206,5
2,98,749,6
2,54,463,3
2,1,147,3
2,45,21,6
2,40,898,9
2,27,547,8
2,80,647,9
2,14,688,8
2,41,936,5
2,24,822,8
2,99,554,4
2,56,590,2
2,33,371,6
2,76,597,9
2,87,887,7
2,38,795,6
2,10,914,4
2,79,16,9
2,71,758,7
2,78,445,1
2,80,331,9
2,51,872,4
2,71,985,6
2,91,544,4
2,79,526,6
2,64,165,10
2,38,864,8
2,99,183,2
2,59,928,8
2,52,102,1
2,45,579,6
2,41,186,1
2,89,69,9
2,36,616,8
2,32,550,6
2,73,339,7
2,74,323,4
2,28,280,3
2,48,289,4
2,81,252,3
2,75,909,3
2,60,237,3
2,22,509,8
2,15,717,2
2,98,932,6
2,39,231,7
2,37,622,8
2,54,728,3
2,34,233,3
2,64,833,6
2,13,410,5
2,58,798,10
2,31,144,1
2,63,907,2
2,3,600,4
2,33,200,3
2,73,66,7
2,66,180,1
2,52,281,3
2,41,831,5
2,11,743,1
2,59,464,1
2,39,159,8
2,2,716,4
2,54,882,4
2,72,825,6
2,37,519,1
2,79,654,4
2,48,259,8
2,61,952,5
2,63,397,2
2,23,558,10
2,43,835,7
2,71,433,9
2,42,427,1
2,40,523,6
2,6,505,3
2,51,733,10
2,32,699,2
2,7,8,10
2,31,913,8
2,22,581,8
2,71,194,3
2,5,692,7
2,32,557,1
2,96,686,7
2,22,841,7
2,36,412,8
2,82,466,6
2,90,975,3
2,81,665,5
2,27,268,10
2,29,213,10
2,62,888,10
2,79,424,8
2,6,294,9
2,93,828,5
2,54,816,8
2,54,813,1
2,21,613,9
2,21,870,10
2,72,653,3
2,26,90,6
2,89,142,4
2,17,419,5
2,71,311,10
2,10,734,3
2,74,482,4
2,74,240,1
2,45,71,6
2,33,376,3
2,50,313,6
2,1,399,10
2,31,456,6
2,50,364,1
2,69,829,7
2,85,849,9
2,49,615,4
2,71,930,4
2,60,398,5
2,87,446,3
